ticker,date,period_ending,estimate,reported,surprise,surprise%
GOOD,2024-08-06,2024-06-30,0.01,-0.04,-0.05,-500.0
GOOG,2024-07-23,2024-06-30,1.84,1.89,0.05,2.7174
GOOGL,2024-07-23,2024-06-30,1.84,1.89,0.05,2.7174
GPC,2024-07-23,2024-06-30,2.59,2.44,-0.15,-5.7915
GPI,2024-07-24,2024-06-30,9.36,9.8,0.44,4.7009
GPK,2024-07-30,2024-06-30,0.57,0.6,0.03,5.2632
GPMT,2024-08-05,2024-06-30,-0.21,-0.18,0.03,14.2857
GPN,2024-08-07,2024-06-30,2.9,2.93,0.03,1.0345
GPOR,2024-08-06,2024-06-30,3.03,2.97,-0.06,-1.9802
GPRE,2024-08-06,2024-06-30,-0.12,-0.38,-0.26,-216.6667
GPRO,2024-08-06,2024-06-30,-0.25,-0.24,0.01,4.0
GRBK,2024-07-31,2024-06-30,1.77,2.32,0.55,31.0734
GRC,2024-07-26,2024-06-30,0.34,0.54,0.2,58.8235
GRMN,2024-07-31,2024-06-30,1.44,1.58,0.14,9.7222
GRND,2024-08-08,2024-06-30,0.05,-0.13,-0.18,-360.0
GRNT,2024-08-08,2024-06-30,0.14,0.13,-0.01,-7.1429
GRWG,2024-08-08,2024-06-30,-0.08,-0.1,-0.02,-25.0
GS,2024-07-15,2024-06-30,8.34,8.62,0.28,3.3573
GSAT,2024-08-08,2024-06-30,-0.01,-0.01,0.0,0.0
GSBC,2024-07-16,2024-06-30,1.21,1.45,0.24,19.8347
GSHD,2024-07-24,2024-06-30,0.39,0.43,0.04,10.2564
GT,2024-07-31,2024-06-30,0.13,0.19,0.06,46.1538
GTES,2024-07-31,2024-06-30,0.36,0.36,0.0,0.0
GTLB,2024-09-03,2024-07-31,0.1,0.15,0.05,50.0
GTLS,2024-08-02,2024-06-30,2.46,2.36,-0.1,-4.065
GTN,2024-08-08,2024-06-30,0.1,0.09,-0.01,-10.0
GTY,2024-07-24,2024-06-30,0.3,0.3,0.0,0.0
GVA,2024-08-01,2024-06-30,1.39,0.97,-0.42,-30.2158
GWRE,2024-09-05,2024-07-31,0.54,0.62,0.08,14.8148
GWW,2024-08-01,2024-06-30,9.58,9.76,0.18,1.8789
GXO,2024-08-06,2024-06-30,0.54,0.55,0.01,1.8519
H,2024-08-06,2024-06-30,1.17,1.53,0.36,30.7692
HAE,2024-08-08,2024-06-30,1.01,1.02,0.01,0.9901
HAFC,2024-07-23,2024-06-30,0.47,0.48,0.01,2.1277
HAIN,2024-08-27,2024-06-30,0.08,0.13,0.05,62.5
HAL,2024-07-19,2024-06-30,0.8,0.8,0.0,0.0
HALO,2024-08-06,2024-06-30,0.76,0.91,0.15,19.7368
HAS,2024-07-25,2024-06-30,0.78,1.22,0.44,56.4103
HASI,2024-08-01,2024-06-30,0.56,0.63,0.07,12.5
HAYN,2024-08-01,2024-06-30,0.84,0.63,-0.21,-25.0
HAYW,2024-07-30,2024-06-30,0.2,0.21,0.01,5.0
HBAN,2024-07-19,2024-06-30,0.28,0.3,0.02,7.1429
HBCP,2024-07-17,2024-06-30,0.98,1.02,0.04,4.0816
HBI,2024-08-08,2024-06-30,0.1,0.15,0.05,50.0
HBNC,2024-07-24,2024-06-30,0.31,0.32,0.01,3.2258
HBT,2024-07-22,2024-06-30,0.56,0.57,0.01,1.7857
HCA,2024-07-23,2024-06-30,4.85,5.53,0.68,14.0206
HCAT,2024-08-07,2024-06-30,0.08,0.12,0.04,50.0
HCC,2024-08-01,2024-06-30,1.34,1.35,0.01,0.7463
HCI,2024-08-08,2024-06-30,3.48,4.21,0.73,20.977
HCKT,2024-08-06,2024-06-30,0.37,0.39,0.02,5.4054
HCP,2024-08-31,2024-07-31,-0.0032,0.08,0.0832,2600.0
HCSG,2024-07-24,2024-06-30,0.2,-0.02,-0.22,-110.0
HD,2024-08-13,2024-07-31,4.49,4.6,0.11,2.4499
HDSN,2024-08-06,2024-06-30,0.25,0.2,-0.05,-20.0
HE,2024-08-09,2024-06-30,0.49,0.44,-0.05,-10.2041
HEAR,2024-08-08,2024-06-30,-0.3,-0.3,0.0,0.0
HEES,2024-07-30,2024-06-30,1.03,0.91,-0.12,-11.6505
HEI,2024-08-26,2024-07-31,0.92,0.97,0.05,5.4348
HELE,2024-07-09,2024-05-31,1.59,0.99,-0.6,-37.7358
HES,2024-07-31,2024-06-30,2.48,2.62,0.14,5.6452
HFWA,2024-07-25,2024-06-30,0.4,0.41,0.01,2.5
HG,2024-08-07,2024-06-30,0.75,1.2,0.45,60.0
HGV,2024-08-08,2024-06-30,0.9,0.02,-0.88,-97.7778
HHH,2024-07-26,2024-06-30,0.23,0.42,0.19,82.6087
HI,2024-08-07,2024-06-30,0.82,0.85,0.03,3.6585
HIG,2024-07-25,2024-06-30,2.24,2.5,0.26,11.6071
HII,2024-08-01,2024-06-30,3.62,4.38,0.76,20.9945
HIMS,2024-08-05,2024-06-30,0.04,0.06,0.02,50.0
HIPO,2024-08-08,2024-06-30,-1.66,-1.64,0.02,1.2048
HIW,2024-07-23,2024-06-30,0.27,0.59,0.32,118.5185
HL,2024-08-06,2024-06-30,0.04,0.02,-0.02,-50.0
HLF,2024-07-31,2024-06-30,0.39,0.54,0.15,38.4615
HLI,2024-07-30,2024-06-30,1.21,1.22,0.01,0.8264
HLIO,2024-08-05,2024-06-30,0.62,0.64,0.02,3.2258
HLIT,2024-07-29,2024-06-30,0.04,0.08,0.04,100.0
HLMN,2024-08-06,2024-06-30,0.14,0.16,0.02,14.2857
HLNE,2024-08-06,2024-06-30,1.1,1.51,0.41,37.2727
HLT,2024-08-07,2024-06-30,1.86,1.91,0.05,2.6882
HLVX,2024-08-09,2024-06-30,-0.7814,-0.6595,0.1219,15.6002
HLX,2024-07-24,2024-06-30,0.13,0.21,0.08,61.5385
HMN,2024-08-07,2024-06-30,0.19,0.2,0.01,5.2632
HMST,2024-07-29,2024-06-30,-0.26,-0.23,0.03,11.5385
HNI,2024-07-25,2024-06-30,0.61,0.79,0.18,29.5082
HNRG,2024-08-06,2024-06-30,-0.08,-0.27,-0.19,-237.5
HNST,2024-08-08,2024-06-30,-0.04,-0.04,0.0,0.0
HOFT,2024-09-05,2024-07-31,-0.13,-0.19,-0.06,-46.1538
HOG,2024-07-25,2024-06-30,1.4,1.63,0.23,16.4286
HOLX,2024-07-29,2024-06-30,1.02,1.06,0.04,3.9216
HOMB,2024-07-17,2024-06-30,0.49,0.52,0.03,6.1224
HON,2024-07-25,2024-06-30,2.42,2.49,0.07,2.8926
HONE,2024-07-25,2024-06-30,0.17,0.18,0.01,5.8824
HOOD,2024-08-07,2024-06-30,0.15,0.21,0.06,40.0
HOPE,2024-07-29,2024-06-30,0.22,0.22,0.0,0.0
HOUS,2024-08-01,2024-06-30,0.38,0.33,-0.05,-13.1579
HP,2024-07-24,2024-06-30,0.77,0.92,0.15,19.4805
HPE,2024-09-04,2024-07-31,0.47,0.5,0.03,6.383
HPP,2024-08-07,2024-06-30,-0.37,-0.33,0.04,10.8108
HPQ,2024-08-27,2024-07-31,0.86,0.83,-0.03,-3.4884
HQY,2024-09-03,2024-07-31,0.7,0.86,0.16,22.8571
HR,2024-08-02,2024-06-30,-0.09,-0.39,-0.3,-333.3333
HRB,2024-08-15,2024-06-30,1.74,1.89,0.15,8.6207
HRI,2024-07-23,2024-06-30,2.91,2.6,-0.31,-10.6529
HRL,2024-09-04,2024-07-31,0.36,0.37,0.01,2.7778
HRMY,2024-08-06,2024-06-30,-0.06,0.2,0.26,433.3333
HROW,2024-08-07,2024-06-30,-0.2,-0.18,0.02,10.0
HRTG,2024-08-06,2024-06-30,0.41,0.61,0.2,48.7805
HRTX,2024-08-06,2024-06-30,-0.04,-0.06,-0.02,-50.0
HSIC,2024-08-06,2024-06-30,1.22,1.23,0.01,0.8197
HSII,2024-07-29,2024-06-30,0.56,0.67,0.11,19.6429
HST,2024-07-31,2024-06-30,0.34,0.34,0.0,0.0
HSTM,2024-07-22,2024-06-30,0.12,0.14,0.02,16.6667
HSY,2024-08-01,2024-06-30,1.43,1.27,-0.16,-11.1888
HTBI,2024-07-24,2024-06-30,0.73,0.73,0.0,0.0
HTBK,2024-07-25,2024-06-30,0.18,0.15,-0.03,-16.6667
HTH,2024-07-25,2024-06-30,0.26,0.31,0.05,19.2308
HTLD,2024-07-23,2024-06-30,-0.06,-0.04,0.02,33.3333
HTLF,2024-07-30,2024-06-30,1.14,1.15,0.01,0.8772
HTZ,2024-08-01,2024-06-30,-0.9,-1.44,-0.54,-60.0
HUBB,2024-07-30,2024-06-30,4.24,4.37,0.13,3.066
HUBG,2024-08-01,2024-06-30,0.47,0.47,0.0,0.0
HUBS,2024-08-07,2024-06-30,1.64,1.94,0.3,18.2927
HUM,2024-07-31,2024-06-30,5.85,6.96,1.11,18.9744
HUMA,2024-08-13,2024-06-30,-0.24,-0.48,-0.24,-100.0
HUN,2024-08-05,2024-06-30,0.14,0.14,0.0,0.0
HURN,2024-07-30,2024-06-30,1.48,1.68,0.2,13.5135
HUT,2024-08-12,2024-06-30,-0.03,-1.33,-1.3,-4333.3333
HVT,2024-07-31,2024-06-30,0.17,0.27,0.1,58.8235
HWC,2024-07-16,2024-06-30,1.2,1.31,0.11,9.1667
HWKN,2024-07-31,2024-06-30,1.01,1.39,0.38,37.6238
HWM,2024-07-30,2024-06-30,0.6,0.67,0.07,11.6667
HXL,2024-07-18,2024-06-30,0.56,0.6,0.04,7.1429
HY,2024-08-06,2024-06-30,2.11,3.58,1.47,69.6682
HZO,2024-07-25,2024-06-30,1.4,1.51,0.11,7.8571
IAC,2024-08-06,2024-06-30,-0.47,-1.71,-1.24,-263.8298
IART,2024-07-29,2024-06-30,0.62,0.63,0.01,1.6129
IAS,2024-08-01,2024-06-30,0.02,0.05,0.03,150.0
IBCP,2024-07-25,2024-06-30,0.7,0.88,0.18,25.7143
IBKR,2024-07-16,2024-06-30,1.74,1.76,0.02,1.1494
IBM,2024-07-24,2024-06-30,2.2,2.43,0.23,10.4545
IBP,2024-08-01,2024-06-30,2.88,3.02,0.14,4.8611
IBRX,2024-08-06,2024-06-30,-0.17,-0.2,-0.03,-17.6471
IBTA,2024-08-13,2024-06-30,-0.85,-1.32,-0.47,-55.2941
IBTX,2024-07-24,2024-06-30,0.58,0.6,0.02,3.4483
ICE,2024-08-01,2024-06-30,1.49,1.52,0.03,2.0134
ICFI,2024-08-01,2024-06-30,1.49,1.69,0.2,13.4228
ICHR,2024-08-06,2024-06-30,0.03,0.05,0.02,66.6667
ICUI,2024-08-07,2024-06-30,1.0,1.56,0.56,56.0
IDA,2024-08-01,2024-06-30,1.37,1.71,0.34,24.8175
IDCC,2024-08-01,2024-06-30,0.33,3.93,3.6,1090.9091
IDXX,2024-08-06,2024-06-30,2.88,3.02,0.14,4.8611
IDYA,2024-08-06,2024-06-30,-0.54,-0.68,-0.14,-25.9259
IE,2024-08-09,2024-06-30,-0.3391,-0.39,-0.0509,-15.0103
IEX,2024-07-31,2024-06-30,2.04,2.06,0.02,0.9804
IFF,2024-08-06,2024-06-30,1.01,1.16,0.15,14.8515
IGMS,2024-08-14,2024-06-30,-0.04,-0.79,-0.75,-1875.0
IGT,2024-07-30,2024-06-30,0.32,0.2,-0.12,-37.5
IHRT,2024-08-08,2024-06-30,-0.31,-6.5,-6.19,-1996.7742
IIIN,2024-07-18,2024-06-30,0.43,0.34,-0.09,-20.9302
IIIV,2024-08-08,2024-06-30,0.36,0.07,-0.29,-80.5556
IIPR,2024-08-05,2024-06-30,1.3,1.34,0.04,3.0769
ILMN,2024-08-06,2024-06-30,0.9,0.36,-0.54,-60.0
IMAX,2024-07-25,2024-06-30,0.07,0.18,0.11,157.1429
IMMR,2024-08-19,2024-06-30,0.34,0.89,0.55,161.7647
IMNM,2024-08-09,2024-06-30,-0.39,-0.49,-0.1,-25.641
IMVT,2024-08-06,2024-06-30,-0.53,-0.6,-0.07,-13.2075
IMXI,2024-08-07,2024-06-30,0.57,0.55,-0.02,-3.5088
INBK,2024-07-24,2024-06-30,0.71,0.67,-0.04,-5.6338
INBX,2024-08-05,2024-06-30,-1.51,125.48,126.99,8409.9338
INCY,2024-07-30,2024-06-30,-1.55,-1.82,-0.27,-17.4194
INDB,2024-07-18,2024-06-30,1.12,1.21,0.09,8.0357
INDI,2024-08-08,2024-06-30,-0.09,-0.09,0.0,0.0
INFA,2024-07-30,2024-06-30,0.22,0.23,0.01,4.5455
INFN,2024-08-02,2024-06-30,-0.08,-0.06,0.02,25.0
INGN,2024-08-06,2024-06-30,-0.55,-0.24,0.31,56.3636
INGR,2024-08-06,2024-06-30,2.49,2.87,0.38,15.261
INMD,2024-08-01,2024-06-30,0.38,0.34,-0.04,-10.5263
INN,2024-07-29,2024-06-30,-0.04,0.23,0.27,675.0
INO,2024-08-08,2024-06-30,-1.1,-1.19,-0.09,-8.1818
INOD,2024-08-08,2024-06-30,-0.04,-0.0005,0.0395,98.75
INSE,2024-08-08,2024-06-30,0.1,0.07,-0.03,-30.0
INSM,2024-08-08,2024-06-30,-1.27,-1.94,-0.67,-52.7559
INSP,2024-08-06,2024-06-30,-0.14,0.32,0.46,328.5714
INSW,2024-08-07,2024-06-30,2.51,2.37,-0.14,-5.5777
INTA,2024-09-04,2024-06-30,0.12,0.15,0.03,25.0
INTC,2024-08-01,2024-06-30,0.1,0.02,-0.08,-80.0
INTU,2024-08-22,2024-07-31,1.85,1.99,0.14,7.5676
INVA,2024-07-31,2024-06-30,0.24,-0.55,-0.79,-329.1667
INVH,2024-07-24,2024-06-30,0.18,0.12,-0.06,-33.3333
INVX,2024-08-02,2024-06-30,0.22,0.1,-0.12,-54.5455
INZY,2024-08-06,2024-06-30,-0.39,-0.44,-0.05,-12.8205
IONQ,2024-08-07,2024-06-30,-0.22,-0.18,0.04,18.1818
IONS,2024-08-01,2024-06-30,-0.92,-0.45,0.47,51.087
